date,predawn_mean,midday_mean,predawn_sd,midday_sd,meta
2022-10-19,-0.758,-1.448,0.04147288270665548,0.15221695043588282,control
2022-10-19,-0.712,-1.476,0.04764451699828639,0.07668115805072333,stop
2022-10-20,-0.8620000000000001,-1.312,0.12934020600296295,0.07330302403948513,stop
2023-09-01,-0.62,-1.06,0.12041594578792293,0.12942179105544785,control
2023-09-01,-0.58,-0.98,0.08366600265340754,0.24135036772294335,irrigation
2023-09-01,-0.66,-0.96,0.15572411502397437,0.10246950765959599,stop
2023-09-22,-0.53,-0.77,0.07582875444051551,0.1717556403731767,control
2023-09-22,-0.38,-0.86,0.10368220676663861,0.10839741694339397,irrigation
2023-09-22,-0.39,-0.78,0.1140175425099138,0.2361143790623519,stop
2023-10-11,-1.1300000000000001,-1.65,0.130384048104053,0.158113883008419,control
2023-10-11,-0.69,-1.01,0.04183300132670376,0.12449899597988734,irrigation
2023-10-11,-0.85,-1.49,0.10606601717798214,0.19811612756158947,stop
2023-10-26,-0.56,-0.56,0.0651920240520265,0.04183300132670376,control
2023-10-26,-0.35,-0.41000000000000003,0.07905694150420949,0.09617692030835673,irrigation
2023-10-26,-0.52,-0.56,0.057008771254956896,0.08215838362577492,stop
2024-05-16,-0.47000000000000003,-0.86,0.04472135954999579,0.15165750888103102,control
2024-05-16,-0.47000000000000003,-0.9,0.04472135954999579,0.07905694150420946,irrigation
2024-05-16,-0.4,-0.87,0.07071067811865477,0.07582875444051547,stop
2024-06-13,-0.31666666666666665,-0.6666666666666666,0.02886751345948128,0.1527525231651947,control
2024-06-13,-0.3,-0.525,0.04082482904638629,0.04999999999999999,irrigation
2024-06-13,-0.2833333333333333,-0.4666666666666667,0.02886751345948128,0.05773502691896256,stop
2024-06-14,-0.6900000000000001,-1.06,0.12449899597988734,0.08215838362577493,control
2024-06-14,-0.65,-1.01,0.04999999999999999,0.11937336386313321,irrigation
2024-06-14,-0.6,-1.1,0.1457737973711325,0.09354143466934853,stop
2024-07-05,-0.7166666666666667,-0.8166666666666667,0.028867513459481315,0.02886751345948125,control
2024-07-05,-1.025,-1.275,0.028867513459481315,0.050000000000000044,irrigation
2024-07-05,-1.25,-1.575,0.05773502691896263,0.1258305739211792,stop
2024-07-06,-0.8200000000000001,-1.3699999999999999,0.057008771254956896,0.10954451150103323,control
2024-07-06,-0.67,-1.1300000000000001,0.02738612787525827,0.044721359549995725,irrigation
2024-07-06,-0.81,-1.32,0.02236067977499787,0.08366600265340753,stop
2024-08-15,-1.05,-1.8333333333333333,0.050000000000000044,0.1527525231651947,control
2024-08-15,-0.4666666666666667,-1.5,0.05773502691896256,0.17320508075688776,irrigation
2024-08-15,-0.8500000000000001,-1.45,0.05773502691896256,0.05773502691896263,stop
2024-08-16,-1.03,-1.56,0.044721359549995836,0.2902585054739998,control
2024-08-16,-0.45,-1.46,0.1,0.13416407864998742,irrigation
2024-08-16,-0.8400000000000001,-1.81,0.0547722557505166,0.1140175425099138,stop
2025-06-12,-0.7525000000000001,-0.97,0.1626555199856992,0.23633566268031883,control
2025-06-12,-0.7133333333333333,-0.8266666666666667,0.03464101615137755,0.15427248620541512,irrigation
2025-06-12,-0.8007142857142857,-0.905,0.036047892441175386,0.22741862449946962,stop
2025-07-14,-0.3625,-0.94375,0.051754916950676584,0.35700890345040015,control
2025-07-14,-0.35,-0.7285714285714285,0.0912870929175277,0.2157489722979441,irrigation
2025-07-14,-0.2611111111111111,-0.6777777777777778,0.048591265790377494,0.11486707293408517,stop
2024-05-21,-0.4766666666666667,-0.41555555555555557,0.18717193521821948,0.06691619966628244,irrigation
2024-05-21,-0.26,-0.4444444444444444,0.25059928172283336,0.10369560153534853,irrigation_vpd
2024-05-22,-0.42,-0.6533333333333333,0.10816653826391968,0.14579942134442034,roof
2024-05-22,-0.39,-0.6786206896551724,0.12288205727444508,0.19927949034192144,roof_vpd
2024-05-23,-0.19666666666666668,-0.5833333333333334,0.01527525231651948,0.20207259421636903,roof
2024-05-23,-0.4166666666666667,-0.5166666666666666,0.09451631252505219,0.16378848148348732,roof_vpd
2024-05-24,-0.35,-0.8826666666666667,0.06557438524302,0.27344460869248916,irrigation
2024-05-24,-0.23666666666666666,-0.8126666666666666,0.06027713773341708,0.24806747320914085,irrigation_vpd
2024-06-18,-0.616,-1.3278787878787879,0.04257933771208758,0.4765936265294416,irrigation
2024-06-18,-0.36633333333333334,-1.385969696969697,0.15476541387963053,0.45701070042508884,irrigation_vpd
2024-06-19,-0.7233333333333333,-1.46815625,0.0850490054811538,0.3102497546852504,roof
2024-06-19,-0.7106666666666667,-1.482878787878788,0.20025317309179733,0.3140885382316344,roof_vpd
2024-06-20,-0.42333333333333334,-0.77095238095238094,0.06429100507328639,0.1044463863379084,irrigation
2024-06-20,-0.5033333333333333,-0.7985714285714286,0.10016652800877811,0.1366486631579583,irrigation_vpd
2024-06-21,-0.6166666666666667,NA,0.03214550253664321,NA,roof
2024-06-21,-0.5933333333333334,NA,0.06658328118479395,NA,roof_vpd
2024-07-16,-0.4466666666666667,-0.6099629629629629,0.047721413781795397,0.14624202318324697,irrigation_vpd
2024-07-16,-0.6566666666666666,-0.6734074074074075,0.04932882862316249,0.18350063073864756,roof
2024-07-17,-0.4776666666666667,-0.9134848484848485,0.06560741827974438,0.3366863452469636,irrigation
2024-07-17,-0.5800000000000001,-0.9957878787878788,0.055677643628300216,0.3260122464701055,roof
2024-07-18,-0.4666666666666667,-1.3112121212121213,0.040414518843273815,0.45402889208560815,irrigation
2024-07-18,-0.5933333333333334,-1.2857575757575759,0.08621678104251711,0.3787481873143942,roof_vpd
2024-07-19,-0.5366666666666667,-1.334,0.028867513459481315,0.4698980080092216,irrigation_vpd
2024-07-19,-0.5433333333333333,-1.2666666666666666,0.03055050463303896,0.43483118669150245,roof_vpd
2024-08-13,-0.55,-1.4493103448275861,0.0519615242270663,0.5120332790139075,irrigation
2024-08-13,-1.08,-1.5986666666666667,0.23259406699226023,0.19553169481739,roof
2024-08-14,-0.62,-1.1703333333333332,0.026457513110645932,0.40293306822754615,irrigation_vpd
2024-08-14,-1.3699999999999999,-1.621,0.31320919526731655,0.19010614095180148,roof_vpd
2024-08-15,-0.48933333333333334,-1.2326153846153847,0.03203643758805488,0.49383763136667314,irrigation
2024-08-15,-0.938,-1.440777777777778,0.028284271247461926,0.45838957943647424,roof
2024-08-16,-0.59,-1.3866666666666667,0.06557438524301995,0.4600585247051142,irrigation_vpd
2024-08-16,-1.5666666666666667,-1.808148148148148,0.23671361036774638,0.2592301774490865,roof_vpd
2024-09-17,-0.6466666666666666,-1.2714814814814814,0.03511884584284244,0.39409783736161946,roof
2024-09-17,-0.6,-1.1744444444444444,0.02999999999999997,0.3358036666924627,roof_vpd
2024-09-18,-0.43666666666666665,-1.2196428571428573,0.03785938897200181,0.4307227529944175,irrigation
2024-09-18,-0.45666666666666667,-1.163185185185185,0.06429100507328639,0.4300931059341451,irrigation_vpd
2024-09-19,-0.36,-1.0044444444444445,0.026457513110645932,0.38752005737999534,irrigation
2024-09-19,-0.27666666666666667,-0.9314814814814815,0.035118845842842465,0.37529171939156164,irrigation_vpd
2024-09-20,-0.8133333333333334,-1.48125,0.05507570547286103,0.36883261786344224,roof
2024-09-20,-0.8,-1.3491666666666666,0.07937253933193775,0.34849885118227053,roof_vpd
2025-05-28,-0.614,-1.2866666666666666,0.016370705543744916,0.1715614564327702,control
2025-05-28,-0.5075000000000001,-1.125,0.07762087348130016,0.2688865931949751,irrigation
2025-05-28,-0.5833333333333334,-1.1433333333333333,0.06506407098647712,0.11930353445448855,irrigation_vpd
2025-05-28,-0.6766666666666666,-1.3633333333333333,0.1357694123627753,0.12096831541082706,roof
2025-05-28,-0.6933333333333334,-1.2066666666666668,0.025166114784235794,0.07371114795831996,roof_vpd
2025-06-11,-0.759125,-0.919875,0.13191278233308984,0.42355147266890714,control
2025-06-11,-0.54875,-0.748125,0.058660646336120684,0.31056354690572857,irrigation
2025-06-11,-0.7016,-0.6471818181818182,0.09087794011750042,0.27512681373570924,irrigation_vpd
2025-06-11,-0.7803333333333333,-0.7388571428571429,0.07880566815485629,0.3752365603062636,roof
2025-06-11,-0.8200000000000001,-0.7198,0.09380831519646864,0.3105772045723897,roof_vpd
2025-06-12,-0.7123333333333333,-0.743,0.26597806927138434,0.31404276323911234,control
2025-06-12,-0.5062500000000001,-0.775625,0.23781557980922952,0.2883563953067206,irrigation
2025-06-12,-0.6286666666666667,-0.9084285714285714,0.13535631988693153,0.37081929882484865,irrigation_vpd
2025-06-12,-0.705,-0.6585,0.3191373789869602,0.1668215470837882,roof
2025-06-12,-0.43833333333333335,-1.105888888888889,0.3733184520843654,0.43299089033270793,roof_vpd
2025-07-22,-0.6897142857142857,-1.5958571428571429,0.12422253457097909,0.4819324652883442,control
2025-07-22,-0.5281250000000001,-1.6431875,0.07643566388987352,0.4645636258899313,irrigation
2025-07-22,-0.5347999999999999,-1.5046,0.12084163189894448,0.16795052181454453,irrigation_vpd
2025-07-22,-0.8119999999999999,-1.7185714285714286,0.16757883716826139,0.3613137404633528,roof
2025-07-22,-0.706,-1.9118333333333333,0.1350037036528998,0.378216348219648,roof_vpd
2025-07-23,-0.5096666666666667,-1.6700000000000002,0.44177181138381083,0.11532562594670794,control
2025-07-23,-0.6142,-1.774,0.09497473348212142,0.26111300235721707,irrigation
2025-07-23,-0.5635,-1.62,0.044547727214752454,0.09899494936611658,irrigation_vpd
2025-07-23,-0.784,-1.8166666666666667,0.05953150426454887,0.133166562369588,roof
2025-07-23,-0.886,-1.7566666666666668,0.03857460304397188,0.05033222956847161,roof_vpd
2025-08-19,-0.6171428571428571,-1.7098,0.06317021600783226,0.12138899822013892,irrigation
2025-08-19,-0.6933333333333334,-1.6445,0.054283207962192756,0.17844046626256047,irrigation_vpd
2025-08-19,-1.3975,-1.8771666666666667,0.5121441854269817,0.04077458358667399,roof
2025-08-19,-1.2688333333333333,-1.9425000000000001,0.40373279117092614,0.22005681084665396,roof_vpd
2025-08-20,-1.0506,NA,0.19054903131040402,NA,control
2025-08-20,-0.4898,NA,0.047023398430993874,NA,irrigation
2025-08-20,-0.471,NA,0.025455844122715694,NA,irrigation_vpd
2025-08-20,-1.31,NA,0.07000000000000006,NA,roof
2025-08-20,-1.3536666666666668,NA,0.2508990500845575,NA,roof_vpd
2025-09-16,-0.5697272727272727,-1.4416666666666667,0.23895359001659336,0.07054549359574051,control
2025-09-16,-0.41883333333333334,-1.2462142857142857,0.05351946686331371,0.19929536586971322,irrigation
2025-09-16,-0.4025714285714286,-1.0946666666666667,0.08599003264498575,0.10735864561309809,irrigation_vpd
2025-09-16,-0.7231428571428571,NA,0.10842421096696776,NA,roof
2025-09-16,-0.7303333333333334,-1.4515,0.16917003280723214,0.1465131083183034,roof_vpd
2025-07-21,NA,-1.775,NA,0.32233522922572383,control
2025-07-21,NA,-1.8800000000000001,NA,0.17262676501632065,irrigation
2025-07-21,NA,-1.69,NA,NA,irrigation_vpd
2025-07-21,NA,-1.36,NA,0.35510561809129404,roof
2025-07-21,NA,-1.9263333333333335,NA,0.17652856237258982,roof_vpd
2025-08-18,NA,-1.4735714285714285,NA,0.48404715509095636,irrigation
2025-08-18,NA,-1.4564166666666667,NA,0.5556597157406408,irrigation_vpd
2025-08-18,NA,-1.71,NA,0.23268617737815267,roof
2025-08-18,NA,-1.8266666666666667,NA,0.14392759122264054,roof_vpd
2025-08-19,NA,-1.922,NA,0.12102065939334487,control
2025-09-15,NA,-1.7011333333333334,NA,0.15144535396668743,control
2025-09-15,NA,-1.5711111111111111,NA,0.18141419765583702,irrigation
2025-09-15,NA,-1.39175,NA,0.1966322710035156,irrigation_vpd
2025-09-15,NA,-1.7266666666666666,NA,0.1304769804380927,roof
2025-09-15,NA,-1.7068333333333334,NA,0.08452317236513707,roof_vpd
2025-09-17,NA,-1.566,NA,0.1293745638747346,control
2025-09-17,NA,-1.3141666666666667,NA,0.18421619380664137,irrigation
2025-09-17,NA,-1.2475,NA,0.11707750790456234,irrigation_vpd
2025-09-17,NA,-1.466,NA,0.7253026954313626,roof
2025-09-17,NA,-1.81,NA,0.12361229712289959,roof_vpd
